Meas No,Distance (cm),Permittivity (mV),Probe Soil Moisture (%),Comments
985,59700,488,,
986,59800,423,,
987,59900,482,,
988,60000,521,,
989,60100,420,,
990,60200,340,,
991,60300,331,,
992,60400,402,,
993,60500,388,,
994,60600,366,,
995,60700,423,,
996,60800,720,,
997,60900,632,,
998,61000,555,,
999,61100,512,,
1000,61200,419,,
1001,61300,352,,
1002,61400,320,,
1003,61500,268,,
1004,61600,295,,
1005,61700,362,,
1006,61800,459,,
1007,61900,341,,
1008,62000,320,,
1009,62100,319,,
1010,62200,295,,
1011,62300,261,,
1012,62400,281,,
1013,62500,281,,
1014,62600,287,,
1015,62700,302,,
1016,62800,312,,
1017,62900,468,,
1018,63000,577,,
1019,63100,631,,
1020,63200,589,,
1021,63300,452,,
1022,63400,338,,
1023,63500,483,,
1024,63600,399,,
1025,63700,372,,
1026,63800,365,,
1027,63900,350,,
1028,64000,345,,
1029,64100,472,,
1030,64200,540,,
1031,64300,554,,
1032,64400,608,,
1033,64500,652,,
1034,64600,686,,
1035,64700,927,,
1036,64800,927,,
1037,64900,0,,
1038,65000,133,,
1039,65100,150,,
1040,65200,162,,
1041,65300,142,,
1042,65400,133,,
1043,65500,129,,
1044,65600,120,,
1045,65700,111,,
1046,65800,112,,
1047,65900,187,,
1048,66000,214,,
1049,66100,192,,
1050,66200,186,,
1051,66300,458,,
1052,66400,902,,
1053,66500,852,,
1054,66600,802,,
1055,66700,783,,
1056,66800,774,,
1057,66900,924,,
1058,67000,856,,
1059,67100,793,,
1060,67200,780,,
1061,67300,700,,
1062,67400,703,,
1063,67500,790,,
1064,67600,803,,
1065,67700,759,,
1066,67800,607,,
1067,67900,435,,
1068,68000,348,,
1069,68100,353,,
1070,68200,386,,
1071,68300,386,,
1072,68400,384,,
1073,68500,362,,
1074,68600,351,,
1075,68700,251,,
1076,68800,218,,
1077,68900,521,,
1078,69000,560,,
1079,69100,655,,
1080,69200,606,,
1081,69300,505,,
1082,69400,405,,
1083,69500,612,,
1084,69600,598,,
1085,69700,637,,
1086,69800,518,,
1087,69900,564,,
1088,70000,336,,
1089,70100,347,,
1090,70200,0,,
1091,70300,0,,
1092,70400,0,,
1093,70500,0,,
1094,70600,976,,
1095,70700,1015,,
1096,70800,1042,,
1097,70900,904,,
1098,71000,729,,
1099,71100,423,,
1100,71200,474,,
1101,71300,560,,
1102,71400,527,,
1103,71500,449,,
1104,71600,530,,
1105,71700,606,,
1106,71800,582,,
1107,71900,593,,
1108,72000,607,,
1109,72100,593,,
1110,72200,582,,
1111,72300,529,,
1112,72400,507,,
1113,72500,760,,
1114,72600,596,,
